"FROM_NODE","TO_NODE","EDGE_LENGTHKM","FROM_NODETYPE","TO_NODETYPE","FROM_COMID","TO_COMID","TO_LEVELPATHI","FROM_NODE_NAME","TO_NODE_NAME","FROM_LEVELPATHI"
"Point.1","Point.5",5.10724231967603,"dam","dam",3230589,3230577,760011409,"CO00361 BARREN","CO00331 ALEXANDER LAKE",760041453
"Point.2","Point.5",2.31346422410945,"dam","dam",3230397,3230577,760011409,"CO00641 UPPER HOTEL LAKE","CO00331 ALEXANDER LAKE",760011409
"Point.3","Point.425",2.58878109830559,"dam","dam",3230613,3230433,760017469,"CO00634 TWIN LAKE #1","CO00476 CEDAR MESA",760026752
"Point.4","Point.587",0.723851645723062,"dam","dam",3230597,3230567,760041454,"CO00334 ARCH SLOUGH","CO00572 HOTEL LAKE DAM",760041454
"Point.5","Point.680",1.04987772573571,"dam","dam",3230577,3230413,760011409,"CO00331 ALEXANDER LAKE","CO00640 WARD LAKE",760011409
"Point.6","Point.09046601",9.50052837550287,"dam","gage",1314643,1313261,760006138,"CO00665 SAWMILL","09046601 BLUE R NR DILLON PLUS HOOSIER PASS TUNNEL COLO",760084154
"Point.7","Point.177",0.0781602658602237,"dam","dam",20585856,20585382,720010299,"AZ00097 CANYON","AZ00185 ATCHISON",720010299
"Point.8","Point.09383500",10.7059209704981,"dam","gage",20586690,20585806,720010119,"AZ00098 JARVIS","09383500 NUTRIOSO CREEK ABV NELSON RES NR SPRINGERVILLE, AZ",720082464
"Point.9","Point.09383570",20.0021533984822,"dam","gage",20585834,20584952,720010119,"AZ00008 NELSON","09383570 NUTRIOSO CREEK AT SPRINGERVILLE, AZ",720010119
"Point.10","Point.89",2.58404485882019,"dam","dam",20466078,20466078,720017186,"AZ00287 BIG SUPAI TANK","AZ00137 MCLELLAN",720017186
"Point.11","Point.09401000",13.4199694871817,"dam","gage",20524941,21743801,720001918,"AZ00218 WALNUT CANYON","09401000 LITTLE COLO. RIVER AT GRAND FALLS, ARIZ.",720012846
"Point.13","Point.332",0.225307703555146,"dam","dam",3179866,3179762,760018740,"CO01040 MESA CREEK #3","CO82448 GLACIER SPG RETAINING POND",760018740
"Point.14","Point.696",2.92952466063091,"dam","dam",3230623,3230453,760011409,"CO01884 SHEEP LAKE","CO00639 WARD CREEK",760011409
"Point.15","Point.09306007",28.7128709415315,"dam","gage",3241851,3241451,760007854,"CO01932 LARSON","09306007 PICEANCE CREEK BELOW RIO BLANCO, CO.",760041304
"Point.16","Point.55",0.651698406111769,"dam","dam",3181344,3181342,760035761,"CO01961 PARKER BASIN #2","CO00834 PARKER BASIN #3",760035761
"Point.17","Point.09134000",3.33303420891818,"dam","gage",1337392,1337948,760018858,"CO00598 MONUMENT","09134000 MINNESOTA CREEK NEAR PAONIA, CO.",760042924
