"IDS","NAME","LONGITUDE","LATITUDE","NEAREST_LINE_ID","COMID","ARBOLATESU","SNAP_DIST","DISTFROMNODE","DISTTONODE","DIST_FROMHWKM","GEOMETRY","POINTTYPE"
"Point.1","CO00361 BARREN",-107.9522,39.0399,3230589,3230589,0.744,133.81255209013,186.677386171799,562.937814825814,0.181062185174186,"c(763751.486600966, 4325498.30305245)","dam"
"Point.2","CO00641 UPPER HOTEL LAKE",-107.9588,39.0499,3230397,3230397,3.209,131.672948320884,103.148950926633,451.159719259234,2.75784028074077,"c(763299.763531855, 4326654.90331456)","dam"
"Point.3","CO00634 TWIN LAKE #1",-107.8422,39.0649,3230613,3230613,0.939,52.8863868447739,197.562167727793,128.198552674161,0.810801447325839,"c(773230.747418582, 4328777.51969633)","dam"
"Point.4","CO00334 ARCH SLOUGH",-107.9755,39.0449,3230597,3230597,0.603,138.945701302256,480.191355631663,129.125440297138,0.473874559702862,"c(761786.0943976, 4325977.70804057)","dam"
"Point.5","CO00331 ALEXANDER LAKE",-107.9755,39.0383,3230577,3230577,8.743,83.4552834071043,45.3045048502148,948.720400072604,7.7942795999274,"c(761795.097034096, 4325298.60253278)","dam"
"Point.6","CO00665 SAWMILL",-106.0588,39.4733,1314643,1314643,5.476,95.5938007321888,3971.37897231638,1534.93176397713,3.94106823602287,"c(925010.291645439, 4380990.26819213)","dam"
"Point.7","AZ00097 CANYON",-109.3363,34.005,20585856,20585856,0.381,64.2345423120469,326.178594121609,56.3009377633149,0.324699062236685,"c(653606.702468527, 3763902.11411961)","dam"
"Point.8","AZ00098 JARVIS",-109.2083,33.9833,20586690,20586690,7.137,24.0110851905921,5830.98840443395,1297.16844640708,5.83983155359292,"c(665523.088529701, 3761762.82141632)","dam"
"Point.9","AZ00008 NELSON",-109.1944,34.0597,20585834,20585834,171.823,11.8668168183234,1769.41253831251,27.2258074900265,171.79577419251,"c(666629.95952648, 3770236.59487053)","dam"
"Point.10","AZ00287 BIG SUPAI TANK",-112.2697,35.2352,20466078,20466078,5.453,28.8856539015703,2832.05404439606,2606.71693022942,2.84628306977058,"c(384489.853207981, 3899882.76633047)","dam"
"Point.11","AZ00218 WALNUT CANYON",-111.4758,35.1661,20524941,20524941,233.878,5.84552768652607,1715.11830166832,13296.3537938901,220.58164620611,"c(456672.257440088, 3891561.32054799)","dam"
"Point.12","CO01752 BUCKHORN LAKE #2",-107.6472,38.3349,9769848,9769848,0.513,111.306529557127,0,518.524818284529,0,"c(793064.681133857, 4248184.53605008)","dam"
"Point.13","CO01040 MESA CREEK #3",-108.0903,39.0455,3179866,3179866,0.532,17.2465909013266,538.502640177539,0,0.532,"c(751816.867228674, 4325872.85294938)","dam"
"Point.14","CO01884 SHEEP LAKE",-107.9872,39.0283,3230623,3230623,9.917,136.393977897316,472.437174374273,460.272333355961,9.45672766664404,"c(760698.116025064, 4324322.13532353)","dam"
"Point.15","CO01932 LARSON",-107.9444,39.7425,3241851,3241851,9.672,699.26133001755,1069.49529239918,1164.67657358675,8.50732342641325,"c(761132.974879702, 4403743.67672167)","dam"
"Point.16","CO01961 PARKER BASIN #2",-107.9555,39.0916,3181344,3181344,0.333,253.335324531423,0,330.847835946358,0.00215216405364166,"c(763485.38649457, 4331541.74384046)","dam"
