"IDS","NAME","LONGITUDE","LATITUDE","NEAREST_LINE_ID","COMID","ARBOLATESU","SNAP_DIST","DISTFROMNODE","DISTTONODE","DIST_FROMHWKM","GEOMETRY","POINTTYPE"
"Point.09010500","09010500 COLORADO RIVER BELOW BAKER GULCH NR GRAND LAKE, CO",-105.856990707964,40.3256713163568,1234461,1234461,96.025,2.95743857751906e-05,110.603540373042,4734.02955456536,91.2909704454347,"c(937009.076588949, 4476615.67601351)","gage"
"Point.09010501","09010501 COLO R BL BAKER GUL PLUS GRAND R D COLO",-105.856990540414,40.325669710103,1234461,1234461,96.025,2.93737852112178e-05,110.782816955191,4733.85027798321,91.2911497220168,"c(937009.101223712, 4476615.49843755)","gage"
"Point.09010600","09010600 ONAHU CREEK NEAR GRAND LAKE, CO",-105.844755720309,40.3214546174904,1234011,1234011,11.814,0.000335274202216723,7874.3745390579,3735.17458223617,8.07882541776383,"c(938076.500295248, 4476207.98145532)","gage"
"Point.09011000","09011000 COLORADO RIVER NEAR GRAND LAKE, CO.",-105.857644766751,40.218799721197,1234087,1234087,148.407,3.58802565744509e-06,1305.97274799223,101.679422620885,148.305320577379,"c(937644.012012138, 4464742.30066102)","gage"
"Point.09011500","09011500 L COLUMBINE C AB SHADOW MTN LK, AT GRAND LK, CO.",-105.833938682637,40.2520811127047,1234483,1234483,2.538,1.87172244645581e-05,1604.7657626005,326.596739025293,2.21140326097471,"c(939446.566163658, 4468556.41768432)","gage"
"Point.09012400","09012400 TONAHUTU CREEK NEAR GRAND LAKE, COLO.",-105.819467481871,40.2686622035511,1234039,1234039,17.734,2.70780289460907e-06,9260.25750140737,56.069276550088,17.6779307234499,"c(940570.18881963, 4470470.12967801)","gage"
"Point.09012420","09012420 TONAHUTU CREEK BLW HARBISON DITCH NR GRAND LAKE,CO",-105.820745063001,40.2654906286079,1234053,1234053,19.799,6.18042347086339e-05,346.720858983799,1715.28479037416,18.0837152096258,"c(940482.128850885, 4470111.49290159)","gage"
"Point.09012500","09012500 NORTH INLET AT GRAND LAKE, CO",-105.814688446307,40.2507266422738,1234481,1234481,54.109,2.32518466701164e-05,660.521880929031,265.627752520862,53.8433722474791,"c(941093.629458476, 4468501.86098809)","gage"
"Point.09013500","09013500 EAST INLET NEAR GRAND LAKE, CO.",-105.79827221767,40.236123229537,1234493,1234493,30.224,4.63453307682568e-05,215.574329104212,474.146700035911,29.7498532999641,"c(942586.122886662, 4466961.90080187)","gage"
"Point.09014000","09014000 GRAND LAKE OUTLET AT GRAND LAKE, CO.",-105.826371769622,40.245101605164,1234531,1234531,88.1,0.00147886163488214,538.085004307469,856.699510766653,87.2433004892333,"c(940135.879664673, 4467818.85308982)","gage"
